Timestamp,Roughly how many people are in the friend group you usually try (and sometimes fail) to make plans with?,"In the last 3 months, what proportion of hangouts got talked about in a chat but NEVER actually happened?",Rank the following barriers to you meeting your friends [Clashing schedules],Rank the following barriers to you meeting your friends [Distance],Rank the following barriers to you meeting your friends [Activity Idea],Rank the following barriers to you meeting your friends [Disagree on location],Rank the following barriers to you meeting your friends [Lack of motivation],Rank the following barriers to you meeting your friends [Bad communication],"When you are only slightly unsure you can make a plan, what response do you usually send?","In your experience, has it been easier to make plans for a larger group?","After a plan is firmly set (date, time, location confirmed), how often does someone bail last-minute (within 24 hours)?","If you could privately signal ""I'd be up for something this week"" (and it stayed invisible unless it matched others), would you send this signal more, the same, or less than messaging the group directly?",Have you ever lied or made up an excuse to avoid a friend meetup that was already planned?,"If you have ever bailed on/not turned up to a planned event, what was the reason?","When attempting to initiate a meetup, how often does the initial suggested date/time get agreed upon without change?",Who typically takes the lead in initiating and coordinating meetups in your friend group?,How irritated do you feel when plans fall apart?
5/19/2026 19:03:30,2 - 3,10 - 30%,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"Yes, occasionally",No reason wanted to avoid going,About half the time (~50%),Mostly one specific friend (not me),3
5/19/2026 19:04:58,2 - 3,10 - 30%,Sometimes,Often,Rarely,Never,Sometimes,Rarely,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Never,The same amount,"Yes, often",,Almost never,,2
5/19/2026 19:05:06,4 - 6,30 - 50%,Often,Sometimes,Rarely,Rarely,Sometimes,Rarely,A 'maybe' or tentative acceptance,The group size does not matter,Rarely (less than 10% of the time),The same amount,"Yes, occasionally",Unexpected things popping up,Often (more than 75% of the time),Mostly one specific friend (not me),2
5/19/2026 19:08:52,4 - 6,10 - 30%,Often,Often,Often,Rarely,Rarely,Rarely,A 'maybe' or tentative acceptance,The group size does not matter,Rarely (less than 10% of the time),I wouldn't use this feature,"No, never","Illness, busyness or mutual cancellation",About half the time (~50%),It's evenly distributed among a few friends,2
5/19/2026 19:13:56,2 - 3,0 - 10%,Rarely,Never,Never,Never,Sometimes,Never,i just tell them i am unsure whether i can do this and say ill get back to them by a certain point,"No, smaller groups make it easier",Rarely (less than 10% of the time),I wouldn't use this feature,"No, never",collide with family event/cba (this case i just tell them),Almost never,It's evenly distributed among a few friends,2
5/19/2026 19:14:48,4 - 6,30 - 50%,Often,Never,Never,Sometimes,Sometimes,Sometimes,A 'maybe' or tentative acceptance,The group size does not matter,Rarely (less than 10% of the time),The same amount,"Yes, often",Too busy being a bum,Almost never,It's evenly distributed among a few friends,2
5/19/2026 19:18:21,2 - 3,10 - 30%,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",About half the time (~50%),The same amount,"No, never","Unforeseeable situation; strike actions, sickness etc.",Often (more than 75% of the time),No one consistently takes the lead,1
5/19/2026 19:22:08,4 - 6,10 - 30%,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"Yes, occasionally",Couldn't be bothered on the day tbh,About half the time (~50%),Mostly one specific friend (not me),3
5/19/2026 19:23:54,4 - 6,10 - 30%,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Nothing yet (silence/delaying the response),"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"Yes, occasionally",girlfriend didn't want me going,Rarely (less than 25% of the time),Mostly one specific friend (not me),3
5/19/2026 19:25:58,4 - 6,50 - 75%,Often,Sometimes,Often,Rarely,Sometimes,Often,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),The same amount,"Yes, occasionally","Sick, too tired or something came up last minute ",About half the time (~50%),It's evenly distributed among a few friends,3
5/19/2026 19:37:49,4 - 6,30 - 50%,Sometimes,Rarely,Never,Never,Sometimes,Often,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",About half the time (~50%),The same amount,"Yes, occasionally",Couldnt be arsed,About half the time (~50%),No one consistently takes the lead,2
5/19/2026 19:40:42,4 - 6,30 - 50%,Often,Sometimes,Sometimes,Rarely,Never,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",About half the time (~50%),More often than messaging the group directly,"Yes, occasionally","My failure to plan accordingly, eg I forgot.",Rarely (less than 25% of the time),Mostly me,3
5/19/2026 19:42:29,4 - 6,10 - 30%,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",About half the time (~50%),More often than messaging the group directly,"No, never",,Rarely (less than 25% of the time),It's evenly distributed among a few friends,3
5/19/2026 19:43:52,4 - 6,10 - 30%,Often,Sometimes,Rarely,Never,Rarely,Rarely,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),The same amount,"Yes, occasionally",,About half the time (~50%),It's evenly distributed among a few friends,2
5/19/2026 19:45:50,4 - 6,50 - 75%,Often,Often,Never,Never,Sometimes,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",About half the time (~50%),Less often than messaging the group directly,"Yes, occasionally",Sick. Busy with work.,About half the time (~50%),Mostly one specific friend (not me),2
5/19/2026 19:49:32,4 - 6,30 - 50%,Often,Rarely,Never,Rarely,Sometimes,Often,Nothing yet (silence/delaying the response),"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"Yes, occasionally",Last minute plan changes ,About half the time (~50%),It's evenly distributed among a few friends,3
5/19/2026 19:56:00,4 - 6,10 - 30%,Often,Rarely,Never,Never,Never,Rarely,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),I wouldn't use this feature,"No, never",I only bail if there was an extreme reason for doing so e.g. illness,About half the time (~50%),It's evenly distributed among a few friends,2
5/19/2026 20:01:20,2 - 3,10 - 30%,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"No, never",,Almost always,It's evenly distributed among a few friends,3
5/19/2026 20:06:53,2 - 3,50 - 75%,Rarely,Sometimes,Often,Sometimes,Often,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),The same amount,"Yes, occasionally",cba,About half the time (~50%),No one consistently takes the lead,2
5/19/2026 20:19:50,4 - 6,50 - 75%,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,A clear yes,"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"No, never",,Often (more than 75% of the time),Mostly me,2
5/19/2026 20:24:06,4 - 6,0 - 10%,Often,Sometimes,Never,Never,Rarely,Rarely,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),The same amount,"Yes, occasionally",Something else came up that I wanted to go to more than the meet up,Rarely (less than 25% of the time),It's evenly distributed among a few friends,3
5/19/2026 21:35:34,2 - 3,75 - 100%,Often,Never,Never,Never,Never,Often,A clear no,The group size does not matter,Never,More often than messaging the group directly,"No, never",My fish die,Almost always,No one consistently takes the lead,1
5/19/2026 21:37:59,4 - 6,75 - 100%,Sometimes,Rarely,Rarely,Never,Often,Rarely,Nothing yet (silence/delaying the response),"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"Yes, occasionally",n/a,Almost never,Mostly one specific friend (not me),1
5/19/2026 22:10:35,2 - 3,10 - 30%,Often,Often,Never,Never,Never,Rarely,A clear yes,"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"Yes, occasionally","Lack of social battery, mental health ",About half the time (~50%),It's evenly distributed among a few friends,3
5/19/2026 22:19:27,4 - 6,50 - 75%,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),Less often than messaging the group directly,"Yes, occasionally",,Rarely (less than 25% of the time),It's evenly distributed among a few friends,3
5/20/2026 0:08:56,,0 - 10%,Sometimes,Sometimes,Never,Never,Never,Rarely,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),,"Yes, occasionally",,Often (more than 75% of the time),It's evenly distributed among a few friends,2
5/20/2026 2:16:18,4 - 6,50 - 75%,Often,Rarely,Sometimes,Rarely,Sometimes,Often,Nothing yet (silence/delaying the response),The group size does not matter,About half the time (~50%),More often than messaging the group directly,"No, never",,Often (more than 75% of the time),Mostly one specific friend (not me),4
5/20/2026 8:14:16,4 - 6,30 - 50%,Often,Sometimes,Sometimes,Rarely,Sometimes,Never,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"No, never",,About half the time (~50%),Mostly me,3
5/20/2026 9:25:24,2 - 3,10 - 30%,Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Nothing yet (silence/delaying the response),The group size does not matter,Rarely (less than 10% of the time),Less often than messaging the group directly,"Yes, often",Didn't have the motivation / Didn't feel like it,Rarely (less than 25% of the time),It's evenly distributed among a few friends,2
5/20/2026 11:58:46,4 - 6,0 - 10%,Often,Often,Sometimes,Sometimes,Often,Often,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Rarely (less than 10% of the time),Less often than messaging the group directly,"No, never",,Rarely (less than 25% of the time),Mostly one specific friend (not me),2
5/20/2026 12:02:29,7+,10 - 30%,Often,Often,Sometimes,Often,Often,Sometimes,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",About half the time (~50%),The same amount,"No, never",Work related stress,Often (more than 75% of the time),It's evenly distributed among a few friends,3
5/20/2026 13:24:39,7+,30 - 50%,Never,Never,Sometimes,Never,Rarely,Often,A 'maybe' or tentative acceptance,"No, smaller groups make it easier",Often (more than 75% of the time),More often than messaging the group directly,"Yes, occasionally",,About half the time (~50%),Mostly one specific friend (not me),2
5/20/2026 14:34:24,4 - 6,50 - 75%,Often,Often,Rarely,Rarely,Rarely,Rarely,Nothing yet (silence/delaying the response),"No, smaller groups make it easier",Rarely (less than 10% of the time),More often than messaging the group directly,"Yes, occasionally",Couldn't be bothered,Rarely (less than 25% of the time),It's evenly distributed among a few friends,2
