"Timestamp","Roughly how many people are in the friend group you usually try (and sometimes fail) to make plans with?","In the last 3 months, what proportion of hangouts got talked about in a chat but NEVER actually happened?","Rank the following barriers to you meeting your friends [Clashing schedules]","Rank the following barriers to you meeting your friends [Distance]","Rank the following barriers to you meeting your friends [Activity Idea]","Rank the following barriers to you meeting your friends [Disagree on location]","Rank the following barriers to you meeting your friends [Lack of motivation]","Rank the following barriers to you meeting your friends [Bad communication]","When you are only slightly unsure you can make a plan, what response do you usually send?","In your experience, has it been easier to make plans for a larger group?","After a plan is firmly set (date, time, location confirmed), how often does someone bail last-minute (within 24 hours)?","If you could privately signal ""I'd be up for something this week"" (and it stayed invisible unless it matched others), would you send this signal more, the same, or less than messaging the group directly?","Have you ever lied or made up an excuse to avoid a friend meetup that was already planned?","If you have ever bailed on/not turned up to a planned event, what was the reason?","When attempting to initiate a meetup, how often does the initial suggested date/time get agreed upon without change?","Who typically takes the lead in initiating and coordinating meetups in your friend group?","How irritated do you feel when plans fall apart?"
"2026/05/19 7:37:48 PM GMT+1","4 - 6","30 - 50%","Sometimes","Rarely","Never","Never","Sometimes","Often","A 'maybe' or tentative acceptance","No, smaller groups make it easier","About half the time (~50%)","The same amount","Yes, occasionally","Couldnt be arsed","About half the time (~50%)","No one consistently takes the lead","2"
"2026/05/19 7:40:41 PM GMT+1","4 - 6","30 - 50%","Often","Sometimes","Sometimes","Rarely","Never","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","About half the time (~50%)","More often than messaging the group directly","Yes, occasionally","My failure to plan accordingly, eg I forgot.","Rarely (less than 25% of the time)","Mostly me","3"
"2026/05/19 7:42:29 PM GMT+1","4 - 6","10 - 30%","Often","Sometimes","Sometimes","Sometimes","Rarely","Often","A 'maybe' or tentative acceptance","No, smaller groups make it easier","About half the time (~50%)","More often than messaging the group directly","No, never","","Rarely (less than 25% of the time)","It's evenly distributed among a few friends","3"
"2026/05/19 7:43:51 PM GMT+1","4 - 6","10 - 30%","Often","Sometimes","Rarely","Never","Rarely","Rarely","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","The same amount","Yes, occasionally","","About half the time (~50%)","It's evenly distributed among a few friends","2"
"2026/05/19 7:45:50 PM GMT+1","4 - 6","50 - 75%","Often","Often","Never","Never","Sometimes","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","About half the time (~50%)","Less often than messaging the group directly","Yes, occasionally","Sick. Busy with work.","About half the time (~50%)","Mostly one specific friend (not me)","2"
"2026/05/19 7:49:32 PM GMT+1","4 - 6","30 - 50%","Often","Rarely","Never","Rarely","Sometimes","Often","Nothing yet (silence/delaying the response)","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","Yes, occasionally","Last minute plan changes ","About half the time (~50%)","It's evenly distributed among a few friends","3"
"2026/05/19 7:56:00 PM GMT+1","4 - 6","10 - 30%","Often","Rarely","Never","Never","Never","Rarely","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","I wouldn't use this feature","No, never","I only bail if there was an extreme reason for doing so e.g. illness","About half the time (~50%)","It's evenly distributed among a few friends","2"
"2026/05/19 8:01:19 PM GMT+1","2 - 3","10 - 30%","Sometimes","Often","Rarely","Rarely","Rarely","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","No, never","","Almost always","It's evenly distributed among a few friends","3"
"2026/05/19 8:06:53 PM GMT+1","2 - 3","50 - 75%","Rarely","Sometimes","Often","Sometimes","Often","Sometimes","A 'maybe' or tentative acceptance","No, smaller groups make it easier","Rarely (less than 10% of the time)","The same amount","Yes, occasionally","cba","About half the time (~50%)","No one consistently takes the lead","2"
"2026/05/19 8:19:49 PM GMT+1","4 - 6","50 - 75%","Often","Sometimes","Rarely","Rarely","Rarely","Rarely","A clear yes","No, smaller groups make it easier","Rarely (less than 10% of the time)","More often than messaging the group directly","No, never","","Often (more than 75% of the time)","Mostly me","2"
